Field,Value,Count
new,True,23793
new,False,18186
built,2014,211
built,2010,120
built,1987,175
built,1974,194
built,1958,197
built,2000,103
built,1930,63
built,2018,404
built,1938,76
built,2005,210
built,1979,198
built,2007,264
built,1966,172
built,2020,419
built,1982,179
built,1992,76
built,1924,42
built,1920,112
built,1910,58
built,1976,199
built,2012,187
built,2019,410
built,1972,254
built,1951,88
built,2017,308
built,1984,177
built,1980,171
built,1962,179
built,1950,231
built,1908,16
built,1990,133
built,1975,238
built,2002,145
built,1955,224
built,1969,191
built,1971,212
built,1970,225
built,1983,186
built,1978,181
built,2001,135
built,1925,35
built,1988,180
built,1996,91
built,1977,161
built,1943,13
built,1885,12
built,1953,210
built,1965,187
built,1968,173
built,1989,155
built,1959,147
built,2021,526
built,1957,180
built,2023,1346
built,1960,222
built,2013,195
built,1912,40
built,1985,179
built,1900,125
built,1949,103
built,1956,186
built,2015,268
built,1973,214
built,1954,235
built,2009,140
built,1964,185
built,2022,737
built,2016,259
built,1994,100
built,1986,142
built,2011,150
built,1876,7
built,1937,57
built,1940,63
built,1967,181
built,1947,90
built,1991,106
built,1961,165
built,2008,240
built,1903,25
built,1999,86
built,1902,23
built,1995,109
built,2006,222
built,1939,86
built,1998,114
built,1963,173
built,1898,50
built,1934,46
built,1946,46
built,1933,57
built,1981,147
built,1880,39
built,1823,1
built,1850,30
built,1948,101
built,1800,22
built,1997,80
built,2003,148
built,2004,161
built,1928,45
built,1952,206
built,Forventet 2023/2024,10
built,1899,36
built,1927,26
built,1935,71
built,1929,34
built,1890,59
built,1870,19
built,1945,21
built,1936,69
built,1858,1
built,1993,82
built,1923,36
built,1875,20
built,1886,9
built,1896,32
built,1915,21
built,1919,32
built,1941,15
built,1914,30
built,1901,25
built,1913,31
built,1891,9
built,1905,39
built,1810,3
built,1926,23
built,1944,9
built,1921,31
built,1840,9
built,1931,32
built,1916,38
built,1917,33
built,1860,12
built,1893,8
built,1942,18
built,1849,2
built,1700,7
built,1918,51
built,1836,1
built,1895,28
built,1907,19
built,1830,5
built,1906,22
built,1897,17
built,1911,19
built,1922,32
built,2024,197
built,1932,39
built,1872,5
built,1852,1
built,1854,6
built,1842,1
built,1790,3
built,1857,1
built,1904,21
built,1909,9
