bedrooms,built,createDate,energyColor,energyLabel,finnkode,isSold,lastUpdated,latitude,longitude,ownership,postNumber,primaryRoom,propertyType,rooms,totalPrice,usableArea
5,,2023-10-23T16:01:00.775+02:00,,,325507708,False,2023-11-10T17:11:29.303+01:00,58.1583711219159,8.00030427164245,Eier (Selveier),4630,164,Enebolig,,13076170,190
4,,2022-06-17T13:09:26.730+02:00,,,262468165,False,2023-06-08T08:40:05.211+02:00,58.0748,7.8754,Eier (Selveier),4643,134,Enebolig,6,8342420,164
3,,2022-03-22T10:12:12.443+01:00,,,252184143,False,2023-11-12T20:05:50.390+01:00,59.93361,10.789398,Eier (Selveier),0585,104,Leilighet,4,13589040,104
1,,2022-03-22T10:12:12.443+01:00,,,252184143,True,2023-11-12T20:05:50.390+01:00,59.93361,10.789398,Eier (Selveier),0585,40,Leilighet,2,5135170,40
4,,2022-03-22T10:12:12.443+01:00,,,252184143,True,2023-11-12T20:05:50.390+01:00,59.93361,10.789398,Eier (Selveier),0585,106,Leilighet,5,15593740,110
3,,2022-03-22T10:12:12.443+01:00,,,252184143,True,2023-11-12T20:05:50.390+01:00,59.93361,10.789398,Eier (Selveier),0585,89,Leilighet,4,9476970,89
3,,2022-03-22T10:12:12.443+01:00,,,252184143,True,2023-11-12T20:05:50.390+01:00,59.93361,10.789398,Eier (Selveier),0585,99,Leilighet,4,12589040,104
3,,2022-03-22T10:12:12.443+01:00,,,252184143,True,2023-11-12T20:05:50.390+01:00,59.93361,10.789398,Eier (Selveier),0585,89,Leilighet,4,8676970,89
3,,2022-03-22T10:12:12.443+01:00,,,252184143,True,2023-11-12T20:05:50.390+01:00,59.93361,10.789398,Eier (Selveier),0585,89,Leilighet,4,9276220,89
2,,2022-03-22T10:12:12.443+01:00,,,252184143,True,2023-11-12T20:05:50.390+01:00,59.93361,10.789398,Eier (Selveier),0585,60,Leilighet,3,6051920,60
1,,2022-03-22T10:12:12.443+01:00,,,252184143,False,2023-11-12T20:05:50.390+01:00,59.93361,10.789398,Eier (Selveier),0585,40,Leilighet,2,5135090,40
3,,2022-03-22T10:12:12.443+01:00,,,252184143,True,2023-11-12T20:05:50.390+01:00,59.93361,10.789398,Eier (Selveier),0585,83,Leilighet,4,8721190,83
1,,2022-03-22T10:12:12.443+01:00,,,252184143,False,2023-11-12T20:05:50.390+01:00,59.93361,10.789398,Eier (Selveier),0585,40,Leilighet,2,4935090,40
3,,2022-03-22T10:12:12.443+01:00,,,252184143,False,2023-11-12T20:05:50.390+01:00,59.93361,10.789398,Eier (Selveier),0585,87,Leilighet,4,8174140,87
1,,2022-03-22T10:12:12.443+01:00,,,252184143,True,2023-11-12T20:05:50.390+01:00,59.93361,10.789398,Eier (Selveier),0585,40,Leilighet,2,4935170,40
3,,2022-03-22T10:12:12.443+01:00,,,252184143,True,2023-11-12T20:05:50.390+01:00,59.93361,10.789398,Eier (Selveier),0585,89,Leilighet,4,9376970,89
3,,2022-03-22T10:12:12.443+01:00,,,252184143,True,2023-11-12T20:05:50.390+01:00,59.93361,10.789398,Eier (Selveier),0585,83,Leilighet,4,8421190,83
4,,2022-03-22T10:12:12.443+01:00,,,252184143,True,2023-11-12T20:05:50.390+01:00,59.93361,10.789398,Eier (Selveier),0585,106,Leilighet,5,10088740,110
3,,2022-03-22T10:12:12.443+01:00,,,252184143,True,2023-11-12T20:05:50.390+01:00,59.93361,10.789398,Eier (Selveier),0585,81,Leilighet,4,7069020,81
3,,2022-03-22T10:12:12.443+01:00,,,252184143,True,2023-11-12T20:05:50.390+01:00,59.93361,10.789398,Eier (Selveier),0585,87,Leilighet,4,9469890,87
1,,2022-03-22T10:12:12.443+01:00,,,252184143,True,2023-11-12T20:05:50.390+01:00,59.93361,10.789398,Eier (Selveier),0585,40,Leilighet,2,5235170,40
3,,2022-03-22T10:12:12.443+01:00,,,252184143,False,2023-11-12T20:05:50.390+01:00,59.93361,10.789398,Eier (Selveier),0585,81,Leilighet,4,8819770,81
3,,2022-03-22T10:12:12.443+01:00,,,252184143,True,2023-11-12T20:05:50.390+01:00,59.93361,10.789398,Eier (Selveier),0585,87,Leilighet,4,8574140,87
3,,2022-03-22T10:12:12.443+01:00,,,252184143,True,2023-11-12T20:05:50.390+01:00,59.93361,10.789398,Eier (Selveier),0585,81,Leilighet,4,8819770,81
1,,2022-03-22T10:12:12.443+01:00,,,252184143,True,2023-11-12T20:05:50.390+01:00,59.93361,10.789398,Eier (Selveier),0585,40,Leilighet,2,5435170,40
1,,2022-03-22T10:12:12.443+01:00,,,252184143,False,2023-11-12T20:05:50.390+01:00,59.93361,10.789398,Eier (Selveier),0585,40,Leilighet,2,5235090,40
3,,2022-03-22T10:12:12.443+01:00,,,252184143,False,2023-11-12T20:05:50.390+01:00,59.93361,10.789398,Eier (Selveier),0585,97,Leilighet,4,9087290,102
3,,2022-03-22T10:12:12.443+01:00,,,252184143,True,2023-11-12T20:05:50.390+01:00,59.93361,10.789398,Eier (Selveier),0585,83,Leilighet,4,9316940,83
3,,2022-03-22T10:12:12.443+01:00,,,252184143,False,2023-11-12T20:05:50.390+01:00,59.93361,10.789398,Eier (Selveier),0585,81,Leilighet,4,8619770,81
3,,2022-03-22T10:12:12.443+01:00,,,252184143,True,2023-11-12T20:05:50.390+01:00,59.93361,10.789398,Eier (Selveier),0585,83,Leilighet,4,8516940,83
2,,2022-03-22T10:12:12.443+01:00,,,252184143,True,2023-11-12T20:05:50.390+01:00,59.93361,10.789398,Eier (Selveier),0585,60,Leilighet,3,6151920,60
