energyColor,energyLabel,latitude,longitude,ownership,postNumber,propertyType,totalPrice,usableArea
,,58.6237098163664,8.94561767578125,Eier (Selveier),4904,,2727122,90
,,58.1719,8.2412,Eier (Selveier),4770,,1872590,49
,,58.2752345589195,8.41332111246785,Eier (Selveier),4790,,5395958,139
,,58.1247,7.9521,Andel,4621,,4656208,69
,,69.6815,19.0836,Andel,9022,Leilighet,3442500,55
,,58.4160993781072,8.70023596923319,Eier (Selveier),4823,,4633337,116
Oransje,C,58.4566981915608,8.81709650025534,Eier (Selveier),4818,,5091122,145
,,58.669223103898,5.64230247324549,Eier (Selveier),4365,Leilighet,4199442,82
,,59.3778041754413,5.30680845984485,Andel,5542,,,
,,58.669223103898,5.64230247324549,Eier (Selveier),4365,Leilighet,3998792,76
,,58.669223103898,5.64230247324549,Eier (Selveier),4365,Leilighet,4898792,76
,,62.4561021381448,6.3644021049302,Eier (Selveier),6010,,,
Oransje,C,62.1810273680101,6.06861434313899,Eier (Selveier),6160,,3600000,115
,,62.4360074281844,6.4606016848364,Eier (Selveier),6013,,4605270,119
,,62.3241060335589,5.6414794921875,Eier (Selveier),6092,,2398792,73
,A,60.6783928866557,10.8180183267948,Eier (Selveier),2850,,3606036,68
,,60.1322202978932,9.7779339287578,Andel,3535,,2813190,81
,,60.2886157380205,11.1517788891132,Eier (Selveier),2074,Enebolig,10015240,214
,,59.5421,11.359,Eier (Selveier),1852,,6136342,130
Rød,B,59.7259424462945,11.0461364158401,Eier (Selveier),1914,,6682379,152
,,66.3604713258207,14.3456554412842,Eier (Selveier),8615,,4420000,84
,,65.4036591372814,12.556643486023,Andel,8960,,2818000,65
,,59.7294837318311,10.304639030155,Eier (Selveier),3427,,12436752,198
,,67.2937030836109,14.4416993671177,Eier (Selveier),8011,,6436370,107
,,59.8736,11.58,Eier (Selveier),1940,,9400000,217
,,59.8315,10.2614,Eier (Selveier),3406,,5766369,138
,,59.5576704645443,11.3901164055485,Eier (Selveier),1852,,3275018,68
Rød,B,66.31,14.2124,Andel,8626,,4130000,68
,,59.762149679368,10.2914293113505,Eier (Selveier),3426,,,
,,60.5567304925165,5.25815963745117,Eier (Selveier),5916,,4852036,72
Rød,B,60.2913933662008,11.1628413181461,Eier (Selveier),2074,,3393429,66
,,60.5439757284055,5.29093354940415,Eier (Selveier),5914,,,
,,59.7477909742115,10.8353519439697,Annet,1405,,,
,,60.3817781029435,5.22610097915119,Eier (Selveier),5178,,,
,,61.2288,7.1033,Eier (Selveier),6856,,5459471,63
,,61.5978,9.7278,Eier (Selveier),2640,,4412170,118
,,59.4343505302363,10.7017388104945,Eier (Selveier),1596,,5263112,129
,,60.2935,5.3139,Eier (Selveier),5239,,4989899,91
,,59.8141150050568,5.26547469198704,Eier (Selveier),5420,,3117294,86
,,59.9035,11.0901,Eier (Selveier),2008,,5725772,89
,,59.2702448356784,11.1794471740723,Eier (Selveier),1739,,4398524,129
,,60.1438400548058,11.1796412603999,Eier (Selveier),2053,Leilighet,3445892,47
,,59.8343,10.4219,Eier (Selveier),1383,,,
,A,60.126451167898,11.3420187474864,Eier (Selveier),2165,,4226947,108
,,59.7324403632731,9.86816516001684,Eier (Selveier),3320,,,
,,59.8452526253062,9.89385766988746,Eier (Selveier),3330,,3858750,112
,,59.8452526253062,9.89385766988746,Eier (Selveier),3330,Enebolig,3958750,112
,,59.2158,11.1929,Eier (Selveier),1746,,3094000,65
,,59.9248066215,11.068531487,Eier (Selveier),2008,,5052884,78
,,59.661,10.7947,Eier (Selveier),1430,,5071404,60
,,60.0366,9.5807,Eier (Selveier),3350,,2600770,74
,,60.143631158578,11.1789289316066,Eier (Selveier),2053,Leilighet,3244842,40
,,59.3409371591206,10.8545841723079,Eier (Selveier),1640,,,
,,59.5396236669857,10.7420985873365,Eier (Selveier),1550,Enebolig,9055000,186
Rød,B,59.9339679599325,11.0733598879756,Eier (Selveier),2008,Leilighet,5745000,116
,,59.7297,10.5977,Eier (Selveier),1454,,8661303,205
,,59.945427,10.960295,Eier (Selveier),1470,,6080220,67
,,60.0857,10.1009,Andel,3533,,4503285,69
,,59.7795599984879,10.8067903458184,Eier (Selveier),1415,,11663842,172
,,59.2007,9.6091,Andel,3732,,5231820,84
,,59.472,11.6466,Eier (Selveier),1870,,4118842,122
,,59.4713,11.6472,Eier (Selveier),1870,,2611942,74
,,59.2007,9.6091,Andel,3732,,4456235,72
,,60.6248603149034,8.55494147954,Andel,3570,,2221799,38
Rød,C,59.9340109608857,11.0732087326028,Eier (Selveier),2008,Leilighet,4545000,70
,,61.1007,10.54,Eier (Selveier),2611,,11231092,313
,,59.7108072073505,10.5117657126526,Eier (Selveier),3474,,7256364,153
,,59.0459,9.6952,Andel,3960,,4536320,90
Lysegrønn,B,60.2241291994451,11.630744934082,Eier (Selveier),2100,,4701794,137
Oransje,B,60.2495562396116,11.6896327914317,Eier (Selveier),2100,,3963000,78
,B,61.0849696939519,10.4904982567638,Eier (Selveier),2614,,4701250,77
Oransje,C,60.7752553246667,11.094779414071,Eier (Selveier),2312,,6303268,138
,,59.2454,10.4742,Eier (Selveier),3124,,6977728,87
,,60.7112272102495,11.2093689500698,Eier (Selveier),2335,,,
,B,61.5555974798436,9.95019384312998,Eier (Selveier),2647,,3096230,67
Oransje,C,59.2646085429703,10.3561592102051,Eier (Selveier),3173,,4270011,79
